id,nom,framework,derived_framework,communaute,visibilite,rattachements,points_n,points_omega,cle_cible,verbe_cible,statut,raison
89,IMAGINATION : CONFORMITÉ,Point Zéro,Imagination - Ombre,Cercle pédagogique PZ,privée,0,0,0,imagination.ombre,JE RÉALISE,correspond,"nom ""conformite"" listé parmi les anciens libellés de JE RÉALISE"
86,IMAGINATION : CRÉATION,Point Zéro,Imagination - Source,Cercle pédagogique PZ,privée,0,0,0,imagination.source,JE CRÉE,Source — nom inventorié,"cadre Source : le nom historique est ""creation"", à consigner tel quel"
87,IMAGINATION : INSPIRATION,Point Zéro,Imagination - Lumière,Cercle pédagogique PZ,privée,0,0,0,imagination.lumiere,JE RÊVE,correspond,"nom ""inspiration"" listé parmi les anciens libellés de JE RÊVE"
64,IMAGINATION : PROJECTION,Point Zéro,Imagination - Lumière,Point Zéro - Monde 0,publique,8,0,0,imagination.lumiere,JE RÊVE,correspond,"nom ""projection"" listé parmi les anciens libellés de JE RÊVE"
63,IMAGINATION : RÉALISME,Point Zéro,Imagination - Ombre,Cercle pédagogique PZ,privée,0,0,0,imagination.ombre,JE RÉALISE,correspond,"nom ""realisme"" listé parmi les anciens libellés de JE RÉALISE"
90,IMAGINATION : VACUITÉ,Point Zéro,Imagination - Ombre,Cercle pédagogique PZ,privée,0,0,0,imagination.ombre,JE RÉALISE,correspond,"nom ""vacuite"" listé parmi les anciens libellés de JE RÉALISE"
88,IMAGINATION : VISION FOLLE,Point Zéro,Imagination - Lumière,Cercle pédagogique PZ,privée,0,0,0,imagination.lumiere,JE RÊVE,correspond,"nom ""vision folle"" listé parmi les anciens libellés de JE RÊVE"
97,INTUITION : CERTITUDE,Point Zéro,Intuition - Lumière,Point Zéro - Monde 0,publique,1,0,0,intuition.lumiere,JE CROIS,correspond,"nom ""certitude"" listé parmi les anciens libellés de JE CROIS"
69,INTUITION : CONVICTION,Point Zéro,Intuition - Lumière,Point Zéro - Monde 0,publique,4,0,0,intuition.lumiere,JE CROIS,correspond,"nom ""conviction"" listé parmi les anciens libellés de JE CROIS"
96,INTUITION : DISCERNEMENT,Point Zéro,Intuition - Source,Cercle pédagogique PZ,privée,1,0,0,intuition.source,JE DISCERNE,Source — nom inventorié,"cadre Source : le nom historique est ""discernement"", à consigner tel quel"
98,INTUITION : FOI TOTALE,Point Zéro,Intuition - Lumière,Cercle pédagogique PZ,privée,0,0,0,intuition.lumiere,JE CROIS,correspond,"nom ""foi totale"" listé parmi les anciens libellés de JE CROIS"
102,INTUITION : NON-SAVOIR,Point Zéro,Intuition - Ombre,Cercle pédagogique PZ,privée,0,0,0,intuition.ombre,JE DOUTE,correspond,"nom ""non-savoir"" listé parmi les anciens libellés de JE DOUTE"
70,INTUITION : OUVERTURE,Point Zéro,Intuition - Ombre,Point Zéro - Monde 0,publique,6,0,0,intuition.ombre,JE DOUTE,correspond,"nom ""ouverture"" listé parmi les anciens libellés de JE DOUTE"
99,INTUITION : SUSPENSION,Point Zéro,Intuition - Ombre,Cercle pédagogique PZ,privée,0,0,0,intuition.ombre,JE DOUTE,correspond,"nom ""suspension"" listé parmi les anciens libellés de JE DOUTE"
82,VOLONTÉ : DÉVOUEMENT,Point Zéro,Volonté - Ombre,Point Zéro - Monde 0,publique,1,0,0,volonte.ombre,JE SERS,correspond,"nom ""devouement"" listé parmi les anciens libellés de JE SERS"
85,VOLONTÉ : DOMINATION,Point Zéro,Volonté - Lumière,Cercle pédagogique PZ,privée,0,0,0,volonte.lumiere,JE DIRIGE,correspond,"nom ""domination"" listé parmi les anciens libellés de JE DIRIGE"
81,VOLONTÉ : INITIATIVE,Point Zéro,Volonté - Lumière,Cercle pédagogique PZ,privée,0,0,0,volonte.lumiere,JE DIRIGE,correspond,"nom ""initiative"" listé parmi les anciens libellés de JE DIRIGE"
84,VOLONTÉ : LEADERSHIP,Point Zéro,Volonté - Lumière,Cercle pédagogique PZ,privée,0,0,0,volonte.lumiere,JE DIRIGE,correspond,"nom ""leadership"" listé parmi les anciens libellés de JE DIRIGE"
83,VOLONTÉ : SACRIFICE,Point Zéro,Volonté - Ombre,Cercle pédagogique PZ,privée,0,0,0,volonte.ombre,JE SERS,correspond,"nom ""sacrifice"" listé parmi les anciens libellés de JE SERS"
59,VOLONTÉ : SERVICE,Point Zéro,Volonté - Ombre,Point Zéro - Monde 0,publique,5,0,0,volonte.ombre,JE SERS,correspond,"nom ""service"" listé parmi les anciens libellés de JE SERS"
60,VOLONTÉ : SOUVERAINETÉ,Point Zéro,Volonté - Source,Point Zéro - Monde 0,publique,3,0,0,volonte.source,JE DÉCIDE,Source — nom inventorié,"cadre Source : le nom historique est ""souverainete"", à consigner tel quel"
